AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3000,"Sales Representatives, Services",minor,2371490,0.6,,,,,41.85,87040,0.4,18.51,23.41,32.78,48.89,77.45,"38,510","48,700","68,190","101,700","161,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3010,Advertising Sales Agents,broad,91700,2,,,,,38.79,80670,1.4,16.94,22.61,31.16,48.07,70.2,"35,240","47,020","64,820","99,990","146,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3011,Advertising Sales Agents,detailed,91700,2,,,,,38.79,80670,1.4,16.94,22.61,31.16,48.07,70.2,"35,240","47,020","64,820","99,990","146,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3020,Insurance Sales Agents,broad,479100,1.1,,,,,39.18,81480,1.1,17.95,22.53,29.94,46.61,66.41,"37,330","46,870","62,280","96,950","138,140",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3021,Insurance Sales Agents,detailed,479100,1.1,,,,,39.18,81480,1.1,17.95,22.53,29.94,46.61,66.41,"37,330","46,870","62,280","96,950","138,140",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3030,"Securities, Commodities, and Financial Services Sales Agents",broad,489570,1.2,,,,,52.48,109150,0.9,23.1,27.18,37.82,62.48,102.35,"48,040","56,540","78,660","129,950","212,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,489570,1.2,,,,,52.48,109150,0.9,23.1,27.18,37.82,62.48,102.35,"48,040","56,540","78,660","129,950","212,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3040,Travel Agents,broad,55110,2.6,,,,,26.28,54660,1,16.64,20.17,24.11,30.32,36.86,"34,610","41,950","50,160","63,060","76,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3041,Travel Agents,detailed,55110,2.6,,,,,26.28,54660,1,16.64,20.17,24.11,30.32,36.86,"34,610","41,950","50,160","63,060","76,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3090,"Miscellaneous Sales Representatives, Services",broad,1256010,0.7,,,,,39.63,82430,0.4,18.26,22.92,33.65,48.31,71.56,"37,980","47,670","69,990","100,480","148,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,1256010,0.7,,,,,39.63,82430,0.4,18.26,22.92,33.65,48.31,71.56,"37,980","47,670","69,990","100,480","148,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-4000,"Sales Representatives, Wholesale and Manufacturing",minor,1522990,0.6,,,,,43.02,89490,0.4,19.59,25.98,36.76,51.22,76.66,"40,760","54,030","76,460","106,540","159,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,1522990,0.6,,,,,43.02,89490,0.4,19.59,25.98,36.76,51.22,76.66,"40,760","54,030","76,460","106,540","159,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,284800,1.8,,,,,57.56,119730,0.8,25.29,36.07,50.44,76.04,96.37,"52,600","75,030","104,920","158,160","200,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,1238190,0.6,,,,,39.68,82530,0.4,18.79,24.27,34.65,47.9,66.13,"39,090","50,470","72,080","99,640","137,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9000,Other Sales and Related Workers,minor,513930,1.3,,,,,32.76,68150,0.9,14.74,17.9,24.06,39.16,62.19,"30,670","37,230","50,040","81,450","129,350",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9010,"Models, Demonstrators, and Product Promoters",broad,68300,3.8,,,,,22.64,47090,2.2,15,16.97,19.02,26.45,33.51,"31,200","35,290","39,570","55,010","69,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9011,Demonstrators and Product Promoters,detailed,64520,3.9,,,,,21.91,45580,1.4,15,16.9,18.91,25.79,30.7,"31,200","35,160","39,320","53,640","63,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9012,Models,detailed,3780,13.4,,,,,35,72800,15.9,16.44,17.17,23.3,47.75,63.21,"34,190","35,710","48,470","99,320","131,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9020,Real Estate Brokers and Sales Agents,broad,239470,2.1,,,,,34.75,72290,1.6,16.21,20,27.59,41.74,62.04,"33,710","41,600","57,400","86,830","129,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9021,Real Estate Brokers,detailed,46100,6.6,,,,,40.36,83950,3.6,17.84,22.35,35.2,49.69,68.89,"37,110","46,480","73,220","103,360","143,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9022,Real Estate Sales Agents,detailed,193370,3,,,,,33.42,69510,1.9,15.85,19.25,25.4,39.43,59.42,"32,970","40,040","52,830","82,020","123,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9030,Sales Engineers,broad,51790,2.8,,,,,62.57,130140,1.2,35.52,44.66,60.05,77.52,93.88,"73,870","92,890","124,900","161,230","195,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9031,Sales Engineers,detailed,51790,2.8,,,,,62.57,130140,1.2,35.52,44.66,60.05,77.52,93.88,"73,870","92,890","124,900","161,230","195,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9040,Telemarketers,broad,58430,4.3,,,,,17.97,37370,1.3,13,14.25,17.04,19.34,24.21,"27,040","29,640","35,450","40,230","50,350",,
